time	V(vout)
8.700000015593804e+01	2.167168e+00
8.700000017550590e+01	2.165384e+00
8.700000019373527e+01	2.163965e+00
8.700000021357577e+01	2.162833e+00
8.700000023307513e+01	2.162193e+00
8.700000025627402e+01	2.161989e+00
8.700000028281737e+01	2.162265e+00
8.700000030537784e+01	2.162782e+00
8.700000032398242e+01	2.163317e+00
8.700000034150329e+01	2.163833e+00
8.700000035862953e+01	2.164301e+00
8.700000037506500e+01	2.164692e+00
8.700000039081431e+01	2.165003e+00
8.700000040472680e+01	2.165220e+00
8.700000041924832e+01	2.165393e+00
8.700000043459379e+01	2.165523e+00
8.700000044922450e+01	2.165604e+00
8.700000046602455e+01	2.165656e+00
8.700000048219641e+01	2.165676e+00
8.700000049974342e+01	2.165676e+00
8.700000051664612e+01	2.165663e+00
8.700000053458420e+01	2.165643e+00
8.700000055237334e+01	2.165623e+00
8.700000057248926e+01	2.165604e+00
8.700000058746622e+01	2.165593e+00
8.700000060217545e+01	2.165586e+00
8.700000062002755e+01	2.165582e+00
8.700000063643458e+01	2.165581e+00
8.700000065556846e+01	2.165583e+00
8.700000067481015e+01	2.165586e+00
8.700000069897126e+01	2.165592e+00
8.700000072766758e+01	2.165598e+00
8.700000076287404e+01	2.165604e+00
8.700000079431992e+01	2.165608e+00
8.700000083012013e+01	2.165611e+00
8.700000086806307e+01	2.165614e+00
8.700000091830456e+01	2.165618e+00
8.700000099549712e+01	2.165624e+00
8.700000116539582e+01	2.165639e+00
8.700328935271033e+01	2.448809e+00
8.700657754002485e+01	2.716446e+00
8.700986572733936e+01	2.968552e+00
8.701315391465387e+01	3.205126e+00
8.701644210196838e+01	3.426168e+00
8.701973028928290e+01	3.631679e+00
8.702301847659741e+01	3.821657e+00
8.704603480024936e+01	4.820797e+00
8.706606732092858e+01	5.162726e+00
8.708465052966845e+01	4.924213e+00
8.710339861190748e+01	4.132295e+00
8.712880248095263e+01	2.394624e+00
8.715112979229377e+01	4.192154e-01
8.717094886747206e+01	-1.576711e+00
8.719120099555911e+01	-3.645643e+00
8.721569415841967e+01	-5.900699e+00
8.724391492611031e+01	-7.918985e+00
8.726726699870545e+01	-8.933950e+00
8.728621293695366e+01	-9.156714e+00
8.730611613749245e+01	-8.788087e+00
8.732535596958449e+01	-7.865718e+00
8.735228482125630e+01	-5.854735e+00
8.738071252432998e+01	-3.202434e+00
8.740009662156906e+01	-1.219952e+00
8.741798483502427e+01	5.842907e-01
8.743622742401257e+01	2.233893e+00
8.745670327014392e+01	3.683978e+00
8.748309114339959e+01	4.867075e+00
8.750305942544084e+01	5.144191e+00
8.752383631229729e+01	4.770895e+00
8.754282134985601e+01	3.858726e+00
8.757007597431746e+01	1.839752e+00
8.759208508585452e+01	-1.937132e-01
8.761192847062756e+01	-2.223351e+00
8.763212422814762e+01	-4.251716e+00
8.765848415508275e+01	-6.539133e+00
8.768726164965183e+01	-8.370450e+00
8.770803175164113e+01	-9.076046e+00
8.772645140605665e+01	-9.124247e+00
8.774547496147376e+01	-8.612656e+00
8.776706606271769e+01	-7.413183e+00
8.779411477543681e+01	-5.239813e+00
8.782102068199582e+01	-2.637500e+00
8.784014426765818e+01	-6.730602e-01
8.785804105940194e+01	1.093816e+00
8.787616062947309e+01	2.646382e+00
8.789881415381905e+01	4.107353e+00
8.792265034508236e+01	5.003143e+00
8.794182118979812e+01	5.132411e+00
8.796171889629889e+01	4.671108e+00
8.797936803861155e+01	3.786788e+00
8.800000000000000e+01	2.367307e+00
8.800000000010000e+01	2.367307e+00
8.800000000030001e+01	2.367306e+00
8.800000000045280e+01	2.367306e+00
8.800000000060504e+01	2.367306e+00
8.800000000082885e+01	2.367306e+00
8.800000000100000e+01	2.367306e+00
8.800000000107954e+01	2.367306e+00
8.800000000118560e+01	2.367306e+00
8.800000000139751e+01	2.367306e+00
8.800000000182133e+01	2.367306e+00
8.800000000239881e+01	2.367306e+00
8.800000000316176e+01	2.367306e+00
8.800000000412626e+01	2.367306e+00
8.800000000541483e+01	2.367306e+00
8.800000000705886e+01	2.367304e+00
8.800000000899526e+01	2.367298e+00
8.800000001110406e+01	2.367284e+00
8.800000001324763e+01	2.367257e+00
8.800000001614936e+01	2.367198e+00
8.800000001910379e+01	2.367101e+00
8.800000002410444e+01	2.366849e+00
8.800000003085475e+01	2.366374e+00
8.800000003788531e+01	2.365741e+00
8.800000004543362e+01	2.364961e+00
8.800000005339275e+01	2.364117e+00
8.800000006236502e+01	2.363245e+00
8.800000007213204e+01	2.362496e+00
8.800000008286277e+01	2.361988e+00
8.800000009340970e+01	2.361857e+00
8.800000010531970e+01	2.362139e+00
8.800000011845269e+01	2.362889e+00
8.800000013536918e+01	2.364289e+00
8.800000015219766e+01	2.365896e+00
8.800000017231501e+01	2.367786e+00
8.800000018999246e+01	2.369181e+00
8.800000020936152e+01	2.370267e+00
8.800000022763724e+01	2.370819e+00
8.800000024958712e+01	2.370929e+00
8.800000027397569e+01	2.370579e+00
8.800000029310323e+01	2.370067e+00
8.800000030978889e+01	2.369527e+00
8.800000032621597e+01	2.368991e+00
8.800000034400992e+01	2.368457e+00
8.800000036011791e+01	2.368044e+00
8.800000037621854e+01	2.367712e+00
8.800000039144076e+01	2.367475e+00
8.800000040720751e+01	2.367302e+00
8.800000042278948e+01	2.367194e+00
8.800000043965228e+01	2.367132e+00
8.800000045625443e+01	2.367112e+00
8.800000047369542e+01	2.367120e+00
8.800000049082919e+01	2.367145e+00
8.800000050856016e+01	2.367177e+00
8.800000052620575e+01	2.367208e+00
8.800000054478386e+01	2.367237e+00
8.800000055764106e+01	2.367252e+00
8.800000057143687e+01	2.367263e+00
8.800000058693685e+01	2.367271e+00
8.800000060430030e+01	2.367274e+00
8.800000062125436e+01	2.367274e+00
8.800000063881292e+01	2.367270e+00
8.800000065592752e+01	2.367265e+00
8.800000067530169e+01	2.367259e+00
8.800000069912861e+01	2.367252e+00
8.800000073689499e+01	2.367243e+00
8.800000076493642e+01	2.367239e+00
8.800000079225846e+01	2.367236e+00
8.800000082318921e+01	2.367234e+00
8.800000085775852e+01	2.367233e+00
8.800000090580826e+01	2.367229e+00
8.800000095861384e+01	2.367225e+00
8.800000102159643e+01	2.367219e+00
8.800000108848047e+01	2.367213e+00
8.800000152450245e+01	2.367176e+00
8.800494711300678e+01	1.944323e+00
8.800989225328173e+01	1.523530e+00
8.801978253383164e+01	7.051370e-01
8.803956309493147e+01	-8.230677e-01
8.805753434196663e+01	-1.998942e+00
8.808182812852471e+01	-3.142549e+00
8.810414382143369e+01	-3.694482e+00
8.812299185698863e+01	-3.692139e+00
8.814228470010309e+01	-3.218727e+00
8.816463546882221e+01	-2.170741e+00
8.818833912792847e+01	-6.224161e-01
8.820907038129775e+01	9.905741e-01
8.823035659348052e+01	2.744731e+00
8.825385854734425e+01	4.563162e+00
